2729;0.0
627;0.0
1764;2.0
1046;4.0
354;2.0
2723;1.0
3223;1.0
2291;15.0
1705;0.0
264;1.0
181;12.0
326;1.0
2493;18.0
1008;4.0
1288;2.0
2424;127.0
312;25.0
1096;98.0
2660;3.0
1566;25.0
1270;9.0
138;1.0
151;2.0
2573;0.0
1820;3.0
2785;31.0
1696;0.0
1516;3.0
1456;0.0
1237;0.0
62;25.0
1704;0.0
3062;115.0
313;0.0
2081;0.0
2618;1.0
2419;5.0
3359;1.0
2054;17.0
3168;3.0
3152;0.0
1813;5.0
367;29.0
1533;7.0
1567;4.0
36;56.0
439;8.0
3240;41.0
2440;0.0
322;0.0
2218;6.0
2646;33.0
1324;2.0
2421;0.0
2719;1838.0
1842;0.0
1514;1.0
1267;0.0
285;5.0
3139;3.0
2711;7.0
59;20.0
2557;2.0
327;7.0
248;36.0
599;20.0
539;0.0
3122;8.0
1917;0.0
1701;38.0
2487;0.0
2653;0.0
1178;1.0
652;3.0
3115;18.0
1489;0.0
1140;3.0
642;1.0
3020;14.0
2339;0.0
1751;0.0
751;1.0
550;0.0
2584;5.0
381;27.0
2707;10.0
3224;200.0
10;0.0
2203;26.0
3328;5.0
967;8.0
2995;172.0
3131;2.0
3238;46.0
1857;0.0
1280;6.0
3225;1.0
900;4.0
172;2.0
679;63.0
943;0.0
2431;72.0
1246;15.0
1607;122.0
2776;5.0
3278;157.0
74;15.0
3256;41.0
3068;7.0
1240;0.0
1836;2.0
1885;0.0
2024;1.0
1047;6.0
1273;100.0
2279;27.0
1795;10.0
1125;79.0
1274;38.0
2708;0.0
2952;23.0
2050;19.0
2868;6.0
2120;2.0
1167;0.0
1481;13.0
2239;84.0
1416;21.0
3221;0.0
1364;8.0
1109;0.0
2324;13.0
3381;0.0
3252;5.0
1401;3.0
308;40.0
3304;83.0
2563;0.0
1722;8.0
2513;3.0
2631;12.0
2211;0.0
791;99.0
638;31.0
921;2.0
1999;0.0
2309;2.0
1158;0.0
